Circuit,Issue,Petitioner,Respondent,LowerCourt,Unconst,Reverse
4th,JudicialPower,US,OTHER,conser,0,1
9th,CriminalProcedure,US,OTHER,liberal,0,1
8th,CivilRights,BUSINESS,POLITICIAN,liberal,0,0
8th,FirstAmendment,BUSINESS,POLITICIAN,liberal,0,0
11th,CivilRights,GOVERNMENT.OFFICIAL,POLITICIAN,conser,0,1
5th,CivilRights,GOVERNMENT.OFFICIAL,POLITICIAN,conser,0,1
5th,CivilRights,GOVERNMENT.OFFICIAL,POLITICIAN,liberal,1,0
4th,CivilRights,GOVERNMENT.OFFICIAL,POLITICIAN,conser,1,1
8th,FirstAmendment,GOVERNMENT.OFFICIAL,POLITICIAN,conser,0,1
4th,JudicialPower,GOVERNMENT.OFFICIAL,POLITICIAN,conser,0,1
8th,FirstAmendment,GOVERNMENT.OFFICIAL,POLITICIAN,liberal,0,0
8th,CivilRights,OTHER,POLITICIAN,liberal,0,0
DC,JudicialPower,OTHER,POLITICIAN,liberal,0,0
DC,FirstAmendment,OTHER,POLITICIAN,conser,0,1
10th,FirstAmendment,OTHER,POLITICIAN,conser,0,1
4th,CivilRights,POLITICIAN,POLITICIAN,conser,1,1
9th,CivilRights,POLITICIAN,POLITICIAN,conser,0,1
11th,DueProcess,POLITICIAN,POLITICIAN,liberal,1,0
5th,CivilRights,US,POLITICIAN,liberal,0,1
1st,FirstAmendment,BUSINESS,STATE,conser,1,1
11th,DueProcess,BUSINESS,STATE,liberal,1,1
6th,JudicialPower,CRIMINAL.DEFENDENT,STATE,conser,1,1
11th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
8th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
5th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
8th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
5th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
9th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
11th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
4th,DueProcess,CRIMINAL.DEFENDENT,STATE,liberal,1,0
11th,JudicialPower,CRIMINAL.DEFENDENT,STATE,conser,1,0
11th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
11th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
7th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,0
7th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
7th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
4th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
5th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
8th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
5th,JudicialPower,CRIMINAL.DEFENDENT,STATE,conser,0,1
4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
FED,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
3rd,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,0
8th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,0
4th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
9th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
5th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
4th,CivilRights,CRIMINAL.DEFENDENT,STATE,conser,0,1
3rd,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
4th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
5th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
5th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
3rd,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
5th,JudicialPower,CRIMINAL.DEFENDENT,STATE,conser,1,1
3rd,JudicialPower,CRIMINAL.DEFENDENT,STATE,conser,0,0
6th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
9th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
8th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
9th,FirstAmendment,EMPLOYEE,STATE,conser,0,0
1st,Unions,EMPLOYEE,STATE,conser,0,1
11th,CivilRights,AMERICAN.INDIAN,STATE,conser,0,1
6th,DueProcess,OTHER,STATE,conser,1,1
10th,CriminalProcedure,OTHER,STATE,conser,1,1
10th,DueProcess,OTHER,STATE,liberal,0,0
10th,FirstAmendment,OTHER,STATE,liberal,1,0
1st,CivilRights,OTHER,STATE,liberal,1,0
5th,CivilRights,POLITICIAN,STATE,conser,0,1
9th,CivilRights,POLITICIAN,STATE,liberal,1,0
4th,CivilRights,US,STATE,conser,1,1
5th,FirstAmendment,BUSINESS,US,conser,1,1
11th,CivilRights,BUSINESS,US,liberal,1,0
FED,EconomicActivity,BUSINESS,US,liberal,0,0
9th,EconomicActivity,BUSINESS,US,conser,0,1
10th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,1
5th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
9th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
10th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
DC,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
6th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,1
3rd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
DC,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,0
2nd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
9th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,1
11th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,0
11th,DueProcess,CRIMINAL.DEFENDENT,US,conser,1,0
2nd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
5th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
5th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,1
7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
DC,FirstAmendment,CRIMINAL.DEFENDENT,US,conser,1,1
2nd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
8th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,0
8th,JudicialPower,CRIMINAL.DEFENDENT,US,conser,0,1
10th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
1st,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
9th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
2nd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
3rd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
3rd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
5th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
5th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
9th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
4th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
3rd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,1
7th,FederalismAndInterstateRelations,CRIMINAL.DEFENDENT,US,conser,1,1
5th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
8th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,1
7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
6th,DueProcess,CRIMINAL.DEFENDENT,US,conser,1,1
5th,JudicialPower,EMPLOYEE,US,conser,0,1
10th,CivilRights,AMERICAN.INDIAN,US,conser,0,0
9th,CriminalProcedure,GOVERNMENT.OFFICIAL,US,liberal,1,0
10th,JudicialPower,GOVERNMENT.OFFICIAL,US,liberal,0,0
5th,CriminalProcedure,GOVERNMENT.OFFICIAL,US,conser,0,0
8th,FederalTaxation,GOVERNMENT.OFFICIAL,US,liberal,0,0
DC,FederalTaxation,GOVERNMENT.OFFICIAL,US,liberal,0,0
4th,FederalTaxation,GOVERNMENT.OFFICIAL,US,liberal,0,0
1st,EconomicActivity,GOVERNMENT.OFFICIAL,US,liberal,0,0
6th,JudicialPower,OTHER,US,conser,0,1
FED,JudicialPower,OTHER,US,conser,0,1
FED,JudicialPower,OTHER,US,conser,1,0
9th,EconomicActivity,OTHER,US,conser,1,1
FED,JudicialPower,OTHER,US,conser,0,0
5th,CriminalProcedure,OTHER,US,conser,1,1
DC,JudicialPower,OTHER,US,conser,0,1
11th,CriminalProcedure,OTHER,US,conser,1,0
2nd,CriminalProcedure,OTHER,US,conser,1,1
6th,CriminalProcedure,OTHER,US,conser,0,0
5th,CriminalProcedure,OTHER,US,liberal,0,1
9th,CriminalProcedure,OTHER,US,conser,1,0
DC,CivilRights,STATE,US,conser,0,0
9th,CivilRights,STATE,US,liberal,0,0
